"","X","Zip.Code","Population","Cases","Deaths","Cases.Per.10000.Residents","totalanimalunits","deathsovercases","MortalityRate"
"543",563,28396,2620,25,1,93,4531.33,0.04,0.0381679389312977
"544",564,28373,2602,24,0,94,0,0,0
"545",566,27009,2596,9,0,31,0,0,0
"546",567,28450,2596,40,3,167,0,0.075,0.115562403697997
"547",568,28167,2591,18,1,74,0,0.0555555555555556,0.0385951370127364
"548",569,28515,2584,15,1,43,0,0.0666666666666667,0.0386996904024768
"549",570,28618,2581,8,0,32,0,0,0
"550",571,27816,2578,24,0,91,7423.47,0,0
"551",573,28385,2562,26,0,87,11841.81,0,0
"552",574,27939,2547,9,0,27,0,0,0
"553",575,28480,2536,41,0,150,0,0,0
"554",576,27252,2509,11,1,49,0,0.0909090909090909,0.0398565165404544
"555",577,28454,2503,4,0,11,9126.31,0,0
"556",578,27355,2475,41,0,128,0,0,0
"557",579,28626,2474,6,0,20,0,0,0
"558",580,28395,2466,20,0,75,3528,0,0
"559",581,27553,2463,15,0,74,0,0,0
"560",582,28119,2453,46,1,152,252.56,0.0217391304347826,0.040766408479413
"561",583,27054,2388,30,0,115,0,0,0
"562",584,28133,2383,25,0,92,1540.34,0,0
"563",585,28665,2377,18,0,60,0,0,0
"564",586,28746,2371,5,0,19,0,0,0
"565",587,28684,2370,4,1,18,0,0.25,0.0421940928270042
"566",588,28523,2364,6,1,26,2389.2,0.166666666666667,0.0423011844331641
"567",589,28423,2359,33,0,144,8572,0,0
"568",590,27986,2339,35,1,132,0,0.0285714285714286,0.0427533133817871
"569",591,28347,2329,23,0,126,0,0,0
"570",592,28617,2323,13,0,53,0,0,0
"571",593,28709,2302,3,0,13,0,0,0
"572",594,28125,2262,16,0,60,742,0,0
"573",595,28698,2247,11,0,60,0,0,0
"574",597,28747,2243,2,1,8,0,0.5,0.0445831475702185
"575",598,27888,2233,34,0,121,25449.7,0,0
"576",599,27007,2230,19,0,89,0,0,0
"577",600,27559,2225,15,0,52,0,0,0
"578",601,27820,2211,30,2,91,2564.8,0.0666666666666667,0.0904568068747173
"579",602,28430,2205,25,1,122,60,0.04,0.0453514739229025
"580",603,27242,2170,20,0,75,209.64,0,0
"581",604,27865,2168,8,0,40,0,0,0
"582",605,28622,2109,10,0,38,0,0,0
"583",606,28393,2106,52,0,241,50698.4,0,0
"584",608,28020,2082,7,0,28,0,0,0
"585",609,27950,2073,4,0,18,0,0,0
"586",610,28689,2071,13,0,78,9718,0,0
"587",611,27860,2066,25,0,121,144947.72,0,0
"588",612,28435,2058,20,0,68,151.86,0,0
"589",613,28573,2053,16,1,65,4284,0.0625,0.0487092060399415
"590",615,27212,2008,47,0,294,0,0,0
"591",616,27824,2001,8,0,52,0,0,0
"592",617,28399,1990,54,1,279,11360.37,0.0185185185185185,0.050251256281407
"593",618,27814,1989,9,0,50,130.2,0,0
"594",619,28743,1987,4,0,17,0,0,0
"595",620,28685,1979,8,0,42,0,0,0
"596",621,28436,1975,22,0,95,0,0,0
"597",622,27231,1963,10,0,49,0,0,0
"598",623,28444,1962,85,0,373,39135.65,0,0
"599",624,28538,1961,29,0,87,16586.67,0,0
"600",625,27808,1939,17,0,69,0,0,0
"601",626,28449,1932,11,0,56,0,0,0
"602",627,27869,1928,59,11,272,1142,0.186440677966102,0.570539419087137
"603",628,27046,1922,5,0,26,0,0,0
"604",629,28455,1914,15,2,87,120,0.133333333333333,0.104493207941484
"605",630,28091,1909,20,0,85,0,0,0
"606",631,28660,1878,21,0,90,1352.6,0,0
"607",632,27208,1847,17,0,101,3016,0,0
"608",633,27507,1841,16,1,78,0,0.0625,0.0543183052688756
"609",634,27981,1832,5,0,27,0,0,0
"610",635,28693,1819,9,0,53,0,0,0
"611",636,27305,1812,25,1,158,0,0.04,0.0551876379690949
"612",637,28783,1809,24,0,126,0,0,0
"613",638,27935,1801,9,1,54,0,0.111111111111111,0.0555247084952804
"614",639,28432,1790,26,2,154,7456,0.0769230769230769,0.111731843575419
